price,location,id,size
700,"
                            Friedensstraße, 42
                        

            61118 Bad Vilbel Bad Vilbel
",9712705,95
650,"
                            Sonnenallee
                        

            12059 Berlin Neukölln
",9712706,21
304,"
                            Alfred-Nobel-Straße, 39
                        

            55124 Mainz Gonsenheim
",9712707,19
NA,"
                            Kauschstr.
                        

            12157 Berlin Friedenau
",9712708,NA
416,"
                            Schönbrunner Straße 192
                        

            1120 Wien 12. Bezirk Meidling
",9712709,20
NA,NA,9712710,NA
NA,NA,9712710,NA
NA,"
                            Riedbergpl.
                        

            60438 Fran Frankfurt am Main Riedberg
",9712711,NA
450,"
                            Kaarstraße
                        

            4040 Linz Urfahr
",9712712,15
NA,NA,9712713,NA
NA,NA,9712714,NA
NA,NA,9712715,NA
NA,NA,9712716,NA
NA,NA,9712717,NA
1300,"
                            Willibald-Alexis-Strasse 12
                        

            10965 Berlin Bergmannkiez
",9712718,60
650,"
                            Lausitzer str 12
                        

            10999 Berlin Kreuzberg
",9712719,30
420,"
                            Thomas Mann Str. 54
                        

            53111 Bonn Zentrum
",9712720,20
NA,NA,9712721,NA
NA,NA,9712722,NA
NA,NA,9712723,NA
370,"
                            Schmidtgasse 16
                        

            4600 Wels Altstadt
",9712724,22
890,"
                            Schlosserstrassse 0
                        

            70180 Stuttgart Mitte
",9712725,34
NA,NA,9712726,NA
1480,"
                            Knaackstrasse 86
                        

            10435 Berlin Prenzlauer Berg
",9712727,45
NA,NA,9712728,NA
NA,NA,9712729,NA
NA,NA,9712730,NA
NA,NA,9712731,NA
462,"
                            Schoenforstwinkel 4
                        

            52078 Aachen Brand
",9712732,20
NA,NA,9712733,NA
1130,"
                            Eugen-Bolz-Strasse 0
                        

            73732 Esslingen am Neckar St Bernhardt
",9712734,55
550,NA,9712735,13
273,"
                            Oststraße 14
                        

            04317 Leipzig Reudnitz - Thonberg
",9712736,15
NA,NA,9712737,NA
700,NA,9712738,NA
NA,NA,9712739,NA
NA,NA,9712740,NA
450,"
                            Himbergerstrasse 37
                        

            2320 Schwechat Schwechat
",9712741,22
1200,NA,9712742,40
550,"
                            Holzhofallee
                        

            64283 Darmstadt Darmstadt
",9712743,20
NA,NA,9712744,NA
300,"
                            auf Anfrage
                        

            auf Anfrag Mönchengladbach Dahl
",9712745,14
NA,NA,9712746,NA
NA,NA,9712747,NA
650,NA,9712748,20
NA,NA,9712749,NA
300,"
                            Thiestraße 1
                        

            37077 Göttingen Weende
",9712750,16
870,"
                            Sandgasse 16
                        

            4020 Linz Innenstadt
",9712751,76
430,"
                            Osloer Straße 16A
                        

            53117 Bonn Bonn
",9712752,21
NA,NA,9712753,NA
480,"
                            Wurmlinger Str. 14
                        

            72108 Rottenburg am Neckar Wendelsheim
",9712754,20
300,NA,9712755,NA
400,NA,9712756,NA
NA,"
                            Steenwisch
                        

            22527 Hamburg Eimsbüttel/Stellingen
",9712757,NA
NA,NA,9712758,NA
NA,NA,9712759,NA
635,"
                            Richard Wagner Straße 13
                        

            80333 München Maxvorstadt
",9712760,16
635,"
                            Richard Wagner Straße 13
                        

            80333 München Maxvorstadt
",9712760,16
NA,NA,9712761,NA
820,"
                            Kaiser-Joseph-Straße
                        

            79098 Freiburg im Breisgau Innenstadt
",9712762,50
NA,NA,9712763,NA
NA,NA,9712764,NA
650,"
                            Heinrich-Böll-Str.
                        

            13156 Berlin Pankow
",9712765,13
700,NA,9712766,63
